algorithm,version,dataset_size,dataset_type,num_threads,time_mean,time_std,time_min,time_max,all_sorted
bubble,parallel,100,random,2,0.000343,3.9e-05,0.000319,0.000388,True
bubble,parallel,100,random,4,0.000414,9.2e-05,0.000318,0.000501,True
bubble,parallel,100,sorted,2,0.000345,3.6e-05,0.000303,0.000371,True
bubble,parallel,100,sorted,4,0.000377,1.7e-05,0.000363,0.000396,True
bubble,parallel,500,random,2,0.018665,0.00327,0.01618,0.022369,True
bubble,parallel,500,random,4,0.018911,0.002486,0.016425,0.021396,True
bubble,parallel,500,sorted,2,0.011824,0.0052,0.008792,0.017828,True
bubble,parallel,500,sorted,4,0.009102,0.001072,0.007913,0.009994,True
bubble,parallel,1000,random,2,0.051942,0.002181,0.049907,0.054244,True
bubble,parallel,1000,random,4,0.049913,0.001064,0.048695,0.050664,True
bubble,parallel,1000,sorted,2,0.036771,0.003537,0.034464,0.040844,True
bubble,parallel,1000,sorted,4,0.035093,0.005836,0.02837,0.038852,True
bubble,serial,100,random,1,0.000388,7.5e-05,0.000321,0.000469,True
bubble,serial,100,sorted,1,0.000368,2e-05,0.00035,0.00039,True
bubble,serial,500,random,1,0.016839,0.000514,0.016404,0.017406,True
bubble,serial,500,sorted,1,0.007604,0.002384,0.005142,0.009901,True
bubble,serial,1000,random,1,0.061614,0.011295,0.054914,0.074655,True
bubble,serial,1000,sorted,1,0.035005,0.000339,0.034631,0.035291,True
insertion,parallel,100,random,2,0.000351,0.000108,0.000232,0.000442,True
insertion,parallel,100,random,4,0.00031,0.000124,0.000179,0.000427,True
insertion,parallel,100,sorted,2,1.5e-05,1e-06,1.4e-05,1.6e-05,True
insertion,parallel,100,sorted,4,1.9e-05,7e-06,1.3e-05,2.7e-05,True
insertion,parallel,500,random,2,0.011165,0.005491,0.00771,0.017496,True
insertion,parallel,500,random,4,0.008866,0.000947,0.007878,0.009765,True
insertion,parallel,500,sorted,2,7.6e-05,3e-05,4.2e-05,9.9e-05,True
insertion,parallel,500,sorted,4,7.8e-05,3.4e-05,4e-05,0.000104,True
insertion,parallel,1000,random,2,0.034534,0.008706,0.024963,0.041982,True
insertion,parallel,1000,random,4,0.02659,0.002875,0.023292,0.028572,True
insertion,parallel,1000,sorted,2,0.00019,4.1e-05,0.000152,0.000234,True
insertion,parallel,1000,sorted,4,0.000235,7.7e-05,0.000159,0.000312,True
insertion,serial,100,random,1,0.000346,0.00016,0.000172,0.000488,True
insertion,serial,100,sorted,1,1.5e-05,1e-06,1.4e-05,1.6e-05,True
insertion,serial,500,random,1,0.008278,0.00102,0.007119,0.009039,True
insertion,serial,500,sorted,1,7.9e-05,3.2e-05,4.2e-05,0.000103,True
insertion,serial,1000,random,1,0.033418,0.00662,0.025964,0.038611,True
insertion,serial,1000,sorted,1,0.000193,3.6e-05,0.000164,0.000234,True
merge,parallel,100,random,2,0.000268,6.3e-05,0.000208,0.000334,True
merge,parallel,100,random,4,0.000227,6.2e-05,0.000171,0.000294,True
merge,parallel,100,sorted,2,0.000196,1.5e-05,0.000186,0.000214,True
merge,parallel,100,sorted,4,0.000194,1e-05,0.000185,0.000204,True
merge,parallel,500,random,2,0.001598,0.000767,0.001004,0.002465,True
merge,parallel,500,random,4,0.001419,0.000225,0.001204,0.001652,True
merge,parallel,500,sorted,2,0.000965,8.4e-05,0.00087,0.001028,True
merge,parallel,500,sorted,4,0.000998,0.000433,0.000539,0.001398,True
merge,parallel,1000,random,2,0.002059,0.000421,0.001739,0.002537,True
merge,parallel,1000,random,4,0.003073,5e-06,0.003067,0.003076,True
merge,parallel,1000,sorted,2,0.001814,0.000477,0.001377,0.002323,True
merge,parallel,1000,sorted,4,0.001984,0.000612,0.001278,0.002368,True
merge,serial,100,random,1,0.000217,5.3e-05,0.000177,0.000277,True
merge,serial,100,sorted,1,0.000196,1.1e-05,0.000189,0.000208,True
merge,serial,500,random,1,0.002468,0.001722,0.001374,0.004453,True
merge,serial,500,sorted,1,0.000827,0.000259,0.000539,0.001042,True
merge,serial,1000,random,1,0.002042,0.000114,0.001945,0.002168,True
merge,serial,1000,sorted,1,0.002006,0.000655,0.00125,0.002411,True
quick,parallel,100,random,2,0.000152,4.2e-05,0.000119,0.000199,True
quick,parallel,100,random,4,0.000154,3.9e-05,0.000115,0.000192,True
quick,parallel,100,sorted,2,0.000123,7e-06,0.000115,0.000128,True
quick,parallel,100,sorted,4,0.000124,9e-06,0.000114,0.000131,True
quick,parallel,500,random,2,0.001788,0.001451,0.000888,0.003461,True
quick,parallel,500,random,4,0.000975,5.7e-05,0.00091,0.001017,True
quick,parallel,500,sorted,2,0.000432,0.000171,0.000329,0.000629,True
quick,parallel,500,sorted,4,0.000448,0.000156,0.000349,0.000628,True
quick,parallel,1000,random,2,0.001166,2.6e-05,0.001136,0.001184,True
quick,parallel,1000,random,4,0.001275,0.0001,0.001196,0.001387,True
quick,parallel,1000,sorted,2,0.001327,0.00044,0.000831,0.00167,True
quick,parallel,1000,sorted,4,0.001065,0.000328,0.000828,0.001439,True
quick,serial,100,random,1,0.000126,1.3e-05,0.000112,0.000135,True
quick,serial,100,sorted,1,0.000129,1.2e-05,0.000116,0.00014,True
quick,serial,500,random,1,0.001051,9.6e-05,0.000941,0.001117,True
quick,serial,500,sorted,1,0.000462,0.000156,0.000349,0.00064,True
quick,serial,1000,random,1,0.001239,5.3e-05,0.001183,0.001288,True
quick,serial,1000,sorted,1,0.00113,0.00031,0.000951,0.001488,True
